Date,FIPSCode,Month In Effect,Date In Effect,Mask Use Perc
,12075,8,,0.779
,12077,8,,0.75
,12079,8,,0.604
07/27/2020,12081,4,07/2020,0.827
,12083,8,,0.746
07/07/2020,12085,4,07/2020,0.888
04/09/2020,12086,1,04/2020,0.884
06/17/2020,12087,3,06/2020,0.978
07/03/2020,12089,4,07/2020,0.693
,12091,8,,0.679
,12093,8,,0.886
06/20/2020,12095,3,06/2020,0.888
04/13/2020,12097,1,04/2020,0.896
06/25/2020,12099,3,06/2020,0.9
06/25/2020,12101,3,06/2020,0.888
06/24/2020,12103,3,06/2020,0.883
,12105,8,,0.802
,12107,8,,0.767
07/27/2020,12109,4,07/2020,0.784
07/01/2020,12111,4,07/2020,0.821
,12113,8,,0.718
,12115,8,,0.879
07/01/2020,12117,4,07/2020,0.858
,12119,8,,0.863
,12121,8,,0.596
,12123,8,,0.621
,12125,8,,0.74
,12127,8,,0.81
,12129,8,,0.704
,12131,8,,0.756
,12133,8,,0.715
,13001,8,,0.568
,13003,8,,0.662
,13005,8,,0.609
,13007,8,,0.87
,13009,8,,0.784
,13011,8,,0.637
,13013,8,,0.758
,13015,8,,0.613
,13017,8,,0.685
,13019,8,,0.674
,13021,8,,0.688
,13023,8,,0.764
,13025,8,,0.674
,13027,8,,0.62
,13029,8,,0.833
,13031,8,,0.734
,13033,8,,0.7
,13035,8,,0.693
,13037,8,,0.909
,13039,8,,0.569
,13043,8,,0.741
,13045,8,,0.625
,13047,8,,0.592
,13049,8,,0.691
,13051,8,,0.782
,13053,8,,0.759
,13055,8,,0.594
,13057,8,,0.797
07/07/2020,13059,4,07/2020,0.829
,13061,8,,0.785
08/19/2020,13063,5,08/2020,0.783
,13065,8,,0.748
,13067,8,,0.797
,13069,8,,0.626
,13071,8,,0.627
,13073,8,,0.781
,13075,8,,0.644
,13077,8,,0.659
,13079,8,,0.66
,13081,8,,0.798
,13083,8,,0.519
,13085,8,,0.733
,13087,8,,0.696
07/14/2020,13089,4,07/2020,0.86
,13091,8,,0.679
,13093,8,,0.831
,13095,8,,0.885
,13097,8,,0.789
,13099,8,,0.738
,13101,8,,0.648
,13103,8,,0.747
,13105,8,,0.61
,13107,8,,0.752
,13109,8,,0.662
,13111,8,,0.712
,13113,8,,0.723
,13115,8,,0.543
,13117,8,,0.834
,13119,8,,0.64
,13121,8,,0.849
,13123,8,,0.743
,13125,8,,0.671
,13127,8,,0.736
,13129,8,,0.526
,13131,8,,0.681
,13133,8,,0.834
,13135,8,,0.829
,13137,8,,0.722
,13139,8,,0.743
,13141,8,,0.743
,13143,8,,0.529
,13145,8,,0.764
,13147,8,,0.707
,13149,8,,0.615
,13151,8,,0.759
,13153,8,,0.753
,13155,8,,0.684
,13157,8,,0.674
,13159,8,,0.678
,13161,8,,0.573
,13163,8,,0.595
,13165,8,,0.749
,13167,8,,0.719
,13169,8,,0.639
,13171,8,,0.699
,13173,8,,0.683
,13175,8,,0.682
,13177,8,,0.894
,13179,8,,0.829
,13181,8,,0.712
,13183,8,,0.78
,13185,8,,0.643
,13187,8,,0.749
,13189,8,,0.753
,13191,8,,0.702
,13193,8,,0.76
,13195,8,,0.697
,13197,8,,0.629
,13199,8,,0.667
,13201,8,,0.698
,13205,8,,0.789
,13207,8,,0.708
,13209,8,,0.629
,13211,8,,0.782
,13213,8,,0.594
,13215,8,,0.78
,13217,8,,0.707
,13219,8,,0.792
,13221,8,,0.808
,13223,8,,0.727
,13225,8,,0.727
,13227,8,,0.743
,13229,8,,0.679
,13231,8,,0.734
,13233,8,,0.63
,13235,8,,0.793
,13237,8,,0.73
,13239,8,,0.701
,13241,8,,0.693
,13243,8,,0.869
,13245,8,,0.758
,13247,8,,0.75
,13249,8,,0.711
,13251,8,,0.652
,13253,8,,0.645
,13255,8,,0.711
,13257,8,,0.68
,13259,8,,0.72
,13261,8,,0.843
,13263,8,,0.663
,13265,8,,0.802
,13267,8,,0.658
,13269,8,,0.623
,13271,8,,0.635
,13273,8,,0.922
,13275,8,,0.758
,13277,8,,0.723
,13279,8,,0.655
,13281,8,,0.73
,13283,8,,0.666
,13285,8,,0.675
,13287,8,,0.722
,13289,8,,0.695
,13291,8,,0.728
,13293,8,,0.627
,13295,8,,0.576
,13297,8,,0.583
,13299,8,,0.722
,13301,8,,0.7
,13303,8,,0.774
,13305,8,,0.689
,13307,8,,0.813
,13309,8,,0.625
,13311,8,,0.78
,13313,8,,0.545
,13315,8,,0.726
,13317,8,,0.72
,13319,8,,0.758
,13321,8,,0.792
04/20/2020,15001,1,04/2020,0.921
04/20/2020,15003,1,04/2020,0.949
04/20/2020,15007,1,04/2020,0.933
04/20/2020,15009,1,04/2020,0.925
07/14/2020,16001,4,07/2020,0.72
,16003,8,,0.472
,16005,8,,0.547
,16007,8,,0.628
,16009,8,,0.753
,16011,8,,0.533
07/07/2020,16013,4,07/2020,0.636
,16015,8,,0.867
,16017,8,,0.677
07/21/2020,16019,4,07/2020,0.515
,16021,8,,0.722
,16023,8,,0.52
,16025,8,,0.737
,16027,8,,0.621
,16029,8,,0.528
,16031,8,,0.541
,16033,8,,0.457
,16035,8,,0.725
,16037,8,,0.702
,16039,8,,0.712
,16041,8,,0.666
,16043,8,,0.48
,16045,8,,0.634
,16047,8,,0.498
,16049,8,,0.698
,16051,8,,0.501
,16053,8,,0.51
07/23/2020,16055,4,07/2020,0.579
,16057,8,,0.92
,16059,8,,0.487
,16061,8,,0.744
,16063,8,,0.514
,16065,8,,0.495
,16067,8,,0.542
,16069,8,,0.843
,16071,8,,0.591
,16073,8,,0.594
,16075,8,,0.546
,16077,8,,0.566
,16079,8,,0.489
07/09/2020,16081,4,07/2020,0.522
,16083,8,,0.512
,16085,8,,0.739
,16087,8,,0.411
05/01/2020,17001,2,05/2020,0.54
05/01/2020,17003,2,05/2020,0.66
05/01/2020,17005,2,05/2020,0.767
05/01/2020,17007,2,05/2020,0.904
05/01/2020,17009,2,05/2020,0.585
05/01/2020,17011,2,05/2020,0.813
05/01/2020,17013,2,05/2020,0.639
05/01/2020,17015,2,05/2020,0.786
05/01/2020,17017,2,05/2020,0.628
05/01/2020,17019,2,05/2020,0.853
05/01/2020,17021,2,05/2020,0.793
05/01/2020,17023,2,05/2020,0.677
05/01/2020,17025,2,05/2020,0.678
05/01/2020,17027,2,05/2020,0.753
05/01/2020,17029,2,05/2020,0.632
05/01/2020,17031,2,05/2020,0.884
05/01/2020,17033,2,05/2020,0.611
05/01/2020,17035,2,05/2020,0.636
05/01/2020,17037,2,05/2020,0.947
05/01/2020,17039,2,05/2020,0.787
05/01/2020,17041,2,05/2020,0.785
05/01/2020,17043,2,05/2020,0.923
05/01/2020,17045,2,05/2020,0.606
05/01/2020,17047,2,05/2020,0.534
05/01/2020,17049,2,05/2020,0.642
05/01/2020,17051,2,05/2020,0.699
05/01/2020,17053,2,05/2020,0.739
05/01/2020,17055,2,05/2020,0.616
05/01/2020,17057,2,05/2020,0.643
05/01/2020,17059,2,05/2020,0.611
05/01/2020,17061,2,05/2020,0.725
05/01/2020,17063,2,05/2020,0.782
05/01/2020,17065,2,05/2020,0.583
05/01/2020,17067,2,05/2020,0.574
05/01/2020,17069,2,05/2020,0.531
05/01/2020,17071,2,05/2020,0.759
05/01/2020,17073,2,05/2020,0.8
05/01/2020,17075,2,05/2020,0.666
05/01/2020,17077,2,05/2020,0.705
05/01/2020,17079,2,05/2020,0.634
05/01/2020,17081,2,05/2020,0.672
05/01/2020,17083,2,05/2020,0.722
05/01/2020,17085,2,05/2020,0.643
05/01/2020,17087,2,05/2020,0.637
05/01/2020,17089,2,05/2020,0.913
05/01/2020,17091,2,05/2020,0.776
05/01/2020,17093,2,05/2020,0.924
05/01/2020,17095,2,05/2020,0.74
05/01/2020,17097,2,05/2020,0.915
05/01/2020,17099,2,05/2020,0.823
05/01/2020,17101,2,05/2020,0.541
05/01/2020,17103,2,05/2020,0.874
05/01/2020,17105,2,05/2020,0.744
05/01/2020,17107,2,05/2020,0.679
05/01/2020,17109,2,05/2020,0.772
05/01/2020,17111,2,05/2020,0.892
05/01/2020,17113,2,05/2020,0.762
05/01/2020,17115,2,05/2020,0.835
05/01/2020,17117,2,05/2020,0.788
05/01/2020,17119,2,05/2020,0.837
05/01/2020,17121,2,05/2020,0.706
05/01/2020,17123,2,05/2020,0.736
05/01/2020,17125,2,05/2020,0.439
05/01/2020,17127,2,05/2020,0.629
05/01/2020,17129,2,05/2020,0.712
05/01/2020,17131,2,05/2020,0.786
05/01/2020,17133,2,05/2020,0.844
05/01/2020,17135,2,05/2020,0.841
05/01/2020,17137,2,05/2020,0.711
05/01/2020,17139,2,05/2020,0.633
05/01/2020,17141,2,05/2020,0.773
05/01/2020,17143,2,05/2020,0.828
05/01/2020,17145,2,05/2020,0.75
05/01/2020,17147,2,05/2020,0.886
05/01/2020,17149,2,05/2020,0.565
05/01/2020,17151,2,05/2020,0.629
05/01/2020,17153,2,05/2020,0.63
05/01/2020,17155,2,05/2020,0.786
05/01/2020,17157,2,05/2020,0.843
05/01/2020,17159,2,05/2020,0.631
05/01/2020,17161,2,05/2020,0.831
05/01/2020,17163,2,05/2020,0.905
05/01/2020,17165,2,05/2020,0.666
05/01/2020,17167,2,05/2020,0.797
05/01/2020,17169,2,05/2020,0.615
05/01/2020,17171,2,05/2020,0.682
05/01/2020,17173,2,05/2020,0.714
05/01/2020,17175,2,05/2020,0.827
05/01/2020,17177,2,05/2020,0.866
05/01/2020,17179,2,05/2020,0.775
05/01/2020,17181,2,05/2020,0.661
05/01/2020,17183,2,05/2020,0.77
05/01/2020,17185,2,05/2020,0.537
05/01/2020,17187,2,05/2020,0.798
05/01/2020,17189,2,05/2020,0.783
05/01/2020,17191,2,05/2020,0.645
05/01/2020,17193,2,05/2020,0.571
05/01/2020,17195,2,05/2020,0.867
05/01/2020,17197,2,05/2020,0.873
05/01/2020,17199,2,05/2020,0.647
05/01/2020,17201,2,05/2020,0.85
05/01/2020,17203,2,05/2020,0.759
07/27/2020,18001,4,07/2020,0.657
07/27/2020,18003,4,07/2020,0.692
07/27/2020,18005,4,07/2020,0.692
07/27/2020,18007,4,07/2020,0.679
07/27/2020,18009,4,07/2020,0.65
07/27/2020,18011,4,07/2020,0.721
07/27/2020,18013,4,07/2020,0.844
07/27/2020,18015,4,07/2020,0.667
07/27/2020,18017,4,07/2020,0.489
07/27/2020,18019,4,07/2020,0.729
07/27/2020,18021,4,07/2020,0.692
07/27/2020,18023,4,07/2020,0.747
07/27/2020,18025,4,07/2020,0.726
07/27/2020,18027,4,07/2020,0.76
07/27/2020,18029,4,07/2020,0.648
07/27/2020,18031,4,07/2020,0.641
07/27/2020,18033,4,07/2020,0.699
07/27/2020,18035,4,07/2020,0.672
07/27/2020,18037,4,07/2020,0.8
07/27/2020,18039,4,07/2020,0.78
07/27/2020,18041,4,07/2020,0.751
07/27/2020,18043,4,07/2020,0.707
07/27/2020,18045,4,07/2020,0.686
07/27/2020,18047,4,07/2020,0.744
07/27/2020,18049,4,07/2020,0.616
07/27/2020,18051,4,07/2020,0.606
07/27/2020,18053,4,07/2020,0.704
07/27/2020,18055,4,07/2020,0.793
07/27/2020,18057,4,07/2020,0.83
07/27/2020,18059,4,07/2020,0.726
07/27/2020,18061,4,07/2020,0.617
07/27/2020,18063,4,07/2020,0.78
07/27/2020,18065,4,07/2020,0.545
07/27/2020,18067,4,07/2020,0.727
07/27/2020,18069,4,07/2020,0.615
07/27/2020,18071,4,07/2020,0.7
07/27/2020,18073,4,07/2020,0.649
07/27/2020,18075,4,07/2020,0.563
07/27/2020,18077,4,07/2020,0.48
07/27/2020,18079,4,07/2020,0.627
07/27/2020,18081,4,07/2020,0.749
07/27/2020,18083,4,07/2020,0.597
07/27/2020,18085,4,07/2020,0.691
07/27/2020,18087,4,07/2020,0.688
07/27/2020,18089,4,07/2020,0.811
07/27/2020,18091,4,07/2020,0.672
07/27/2020,18093,4,07/2020,0.682
07/27/2020,18095,4,07/2020,0.704
07/27/2020,18097,4,07/2020,0.78
07/27/2020,18099,4,07/2020,0.618
07/27/2020,18101,4,07/2020,0.773
07/27/2020,18103,4,07/2020,0.569
07/27/2020,18105,4,07/2020,0.833
07/27/2020,18107,4,07/2020,0.646
07/27/2020,18109,4,07/2020,0.673
07/27/2020,18111,4,07/2020,0.654
07/27/2020,18113,4,07/2020,0.697
07/27/2020,18115,4,07/2020,0.682
07/27/2020,18117,4,07/2020,0.745
07/27/2020,18119,4,07/2020,0.782
07/27/2020,18121,4,07/2020,0.6
07/27/2020,18123,4,07/2020,0.794
07/27/2020,18125,4,07/2020,0.695
07/27/2020,18127,4,07/2020,0.743
07/27/2020,18129,4,07/2020,0.698
07/27/2020,18131,4,07/2020,0.476
07/27/2020,18133,4,07/2020,0.56
07/27/2020,18135,4,07/2020,0.515
07/27/2020,18137,4,07/2020,0.723
07/27/2020,18139,4,07/2020,0.687
07/27/2020,18141,4,07/2020,0.826
07/27/2020,18143,4,07/2020,0.723
07/27/2020,18145,4,07/2020,0.606
07/27/2020,18147,4,07/2020,0.745
07/27/2020,18149,4,07/2020,0.584
07/27/2020,18151,4,07/2020,0.701
07/27/2020,18153,4,07/2020,0.724
07/27/2020,18155,4,07/2020,0.578
07/27/2020,18157,4,07/2020,0.722
07/27/2020,18159,4,07/2020,0.796
07/27/2020,18161,4,07/2020,0.747
07/27/2020,18163,4,07/2020,0.776
07/27/2020,18165,4,07/2020,0.649
07/27/2020,18167,4,07/2020,0.716
07/27/2020,18169,4,07/2020,0.583
07/27/2020,18171,4,07/2020,0.715
07/27/2020,18173,4,07/2020,0.8
07/27/2020,18175,4,07/2020,0.767
07/27/2020,18177,4,07/2020,0.609
07/27/2020,18179,4,07/2020,0.669
07/27/2020,18181,4,07/2020,0.573
07/27/2020,18183,4,07/2020,0.62
,19001,8,,0.671
,19003,8,,0.592
,19005,8,,0.681
,19007,8,,0.606
,19009,8,,0.509
,19011,8,,0.704
,19013,8,,0.736
,19015,8,,0.73
,19017,8,,0.692
,19019,8,,0.767
,19021,8,,0.495
,19023,8,,0.647
,19025,8,,0.457
,19027,8,,0.497
,19029,8,,0.465
,19031,8,,0.736
,19033,8,,0.428
,19035,8,,0.491
,19037,8,,0.592
,19039,8,,0.612
,19041,8,,0.63
,19043,8,,0.655
,19045,8,,0.699
,19047,8,,0.724
,19049,8,,0.745
,19051,8,,0.612
,19053,8,,0.362
,19055,8,,0.691
08/26/2020,19057,5,08/2020,0.675
,19059,8,,0.606
08/06/2020,19061,5,08/2020,0.619
,19063,8,,0.609
,19065,8,,0.743
,19067,8,,0.518
,19069,8,,0.447
,19071,8,,0.82
,19073,8,,0.507
,19075,8,,0.718
,19077,8,,0.623
,19079,8,,0.61
,19081,8,,0.39
,19083,8,,0.655
,19085,8,,0.743
,19087,8,,0.644
,19089,8,,0.596
,19091,8,,0.342
,19093,8,,0.508
,19095,8,,0.689
,19097,8,,0.643
,19099,8,,0.559
,19101,8,,0.589
08/10/2020,19103,5,08/2020,0.873
,19105,8,,0.691
,19107,8,,0.552
,19109,8,,0.445
,19111,8,,0.553
,19113,8,,0.764
,19115,8,,0.696
,19117,8,,0.569
,19119,8,,0.591
,19121,8,,0.752
,19123,8,,0.57
,19125,8,,0.689
,19127,8,,0.706
,19129,8,,0.762
,19131,8,,0.523
,19133,8,,0.767
,19135,8,,0.632
,19137,8,,0.664
07/06/2020,19139,4,07/2020,0.637
,19141,8,,0.506
,19143,8,,0.521
,19145,8,,0.791
,19147,8,,0.598
,19149,8,,0.564
,19151,8,,0.5
,19153,8,,0.732
,19155,8,,0.654
,19157,8,,0.547
,19159,8,,0.437
,19161,8,,0.462
,19163,8,,0.771
,19165,8,,0.661
,19167,8,,0.535
,19169,8,,0.809
,19171,8,,0.672
,19173,8,,0.574
,19175,8,,0.672
,19177,8,,0.59
,19179,8,,0.591
,19181,8,,0.582
,19183,8,,0.74
,19185,8,,0.462
,19187,8,,0.463
,19189,8,,0.425
,19191,8,,0.682
,19193,8,,0.585
,19195,8,,0.482
,19197,8,,0.357
07/03/2020,20001,4,07/2020,0.508
07/03/2020,20003,4,07/2020,0.611
07/03/2020,20005,4,07/2020,0.572
07/03/2020,20007,4,07/2020,0.665
07/03/2020,20009,4,07/2020,0.641
07/03/2020,20011,4,07/2020,0.61
07/03/2020,20013,4,07/2020,0.579
07/03/2020,20015,4,07/2020,0.692
07/03/2020,20017,4,07/2020,0.556
07/03/2020,20019,4,07/2020,0.551
07/03/2020,20021,4,07/2020,0.584
07/03/2020,20023,4,07/2020,0.491
07/03/2020,20025,4,07/2020,0.58
07/03/2020,20027,4,07/2020,0.736
07/03/2020,20029,4,07/2020,0.651
07/03/2020,20031,4,07/2020,0.631
07/03/2020,20033,4,07/2020,0.617
07/03/2020,20035,4,07/2020,0.552
07/03/2020,20037,4,07/2020,0.631
07/03/2020,20039,4,07/2020,0.508
07/03/2020,20041,4,07/2020,0.628
07/03/2020,20043,4,07/2020,0.486
07/03/2020,20045,4,07/2020,0.961
07/03/2020,20047,4,07/2020,0.727
07/03/2020,20049,4,07/2020,0.594
07/03/2020,20051,4,07/2020,0.468
07/03/2020,20053,4,07/2020,0.56
07/03/2020,20055,4,07/2020,0.582
07/03/2020,20057,4,07/2020,0.631
07/03/2020,20059,4,07/2020,0.718
07/03/2020,20061,4,07/2020,0.769
07/03/2020,20063,4,07/2020,0.438
07/03/2020,20065,4,07/2020,0.379
07/03/2020,20067,4,07/2020,0.601
07/03/2020,20069,4,07/2020,0.604
07/03/2020,20071,4,07/2020,0.552
07/03/2020,20073,4,07/2020,0.632
07/03/2020,20075,4,07/2020,0.585
07/03/2020,20077,4,07/2020,0.593
07/03/2020,20079,4,07/2020,0.746
07/03/2020,20081,4,07/2020,0.603
07/03/2020,20083,4,07/2020,0.637
07/03/2020,20085,4,07/2020,0.713
07/03/2020,20087,4,07/2020,0.816
07/03/2020,20089,4,07/2020,0.599
07/03/2020,20091,4,07/2020,0.878
07/03/2020,20093,4,07/2020,0.575
07/03/2020,20095,4,07/2020,0.592
07/03/2020,20097,4,07/2020,0.702
07/03/2020,20099,4,07/2020,0.618
07/03/2020,20101,4,07/2020,0.53
07/03/2020,20103,4,07/2020,0.686
07/03/2020,20105,4,07/2020,0.538
07/03/2020,20107,4,07/2020,0.685
07/03/2020,20109,4,07/2020,0.469
07/03/2020,20111,4,07/2020,0.644
07/03/2020,20113,4,07/2020,0.709
07/03/2020,20115,4,07/2020,0.622
07/03/2020,20117,4,07/2020,0.67
07/03/2020,20119,4,07/2020,0.597
07/03/2020,20121,4,07/2020,0.79
07/03/2020,20123,4,07/2020,0.568
07/03/2020,20125,4,07/2020,0.602
07/03/2020,20127,4,07/2020,0.648
07/03/2020,20129,4,07/2020,0.623
07/03/2020,20131,4,07/2020,0.668
07/03/2020,20133,4,07/2020,0.543
07/03/2020,20135,4,07/2020,0.569
07/03/2020,20137,4,07/2020,0.5
07/03/2020,20139,4,07/2020,0.804
07/03/2020,20141,4,07/2020,0.429
07/03/2020,20143,4,07/2020,0.587
07/03/2020,20145,4,07/2020,0.714
